Date,Count
1-Feb-2022,3
31-Jan-2022,6
30-Jan-2022,6
29-Jan-2022,1
28-Jan-2022,4
27-Jan-2022,8
26-Jan-2022,1
25-Jan-2022,4
24-Jan-2022,4
23-Jan-2022,5
22-Jan-2022,4
21-Jan-2022,6
20-Jan-2022,5
19-Jan-2022,7
18-Jan-2022,8
17-Jan-2022,8
16-Jan-2022,6
15-Jan-2022,6
14-Jan-2022,4
13-Jan-2022,6
12-Jan-2022,7
11-Jan-2022,6
10-Jan-2022,3
9-Jan-2022,4
8-Jan-2022,2
7-Jan-2022,3
6-Jan-2022,6
5-Jan-2022,2
4-Jan-2022,9
3-Jan-2022,1
2-Jan-2022,2
1-Jan-2022,2
31-Dec-2021,4
30-Dec-2021,2
29-Dec-2021,7
28-Dec-2021,9
27-Dec-2021,3
26-Dec-2021,4
24-Dec-2021,6
23-Dec-2021,4
22-Dec-2021,2
21-Dec-2021,2
18-Dec-2021,2
17-Dec-2021,4
16-Dec-2021,1
15-Dec-2021,1
13-Dec-2021,2
12-Dec-2021,2
11-Dec-2021,3
10-Dec-2021,1
9-Dec-2021,1
6-Dec-2021,3
5-Dec-2021,1
4-Dec-2021,3
3-Dec-2021,1
2-Dec-2021,1
1-Dec-2021,1
30-Nov-2021,1
29-Nov-2021,2
28-Nov-2021,1
27-Nov-2021,2
26-Nov-2021,1
25-Nov-2021,3
24-Nov-2021,2
23-Nov-2021,1
22-Nov-2021,4
21-Nov-2021,2
20-Nov-2021,1
19-Nov-2021,1
18-Nov-2021,2
17-Nov-2021,2
16-Nov-2021,2
15-Nov-2021,1
14-Nov-2021,1
13-Nov-2021,2
12-Nov-2021,8
11-Nov-2021,1
10-Nov-2021,4
9-Nov-2021,3
8-Nov-2021,10
7-Nov-2021,17
6-Nov-2021,6
5-Nov-2021,3
4-Nov-2021,6
3-Nov-2021,3
2-Nov-2021,3
1-Nov-2021,6
31-Oct-2021,10
30-Oct-2021,10
29-Oct-2021,3
28-Oct-2021,9
27-Oct-2021,5
26-Oct-2021,5
25-Oct-2021,4
24-Oct-2021,2
23-Oct-2021,2
13-Aug-2021,1
6-Aug-2021,1
5-Jul-2021,2
26-Jun-2021,1
25-Jun-2021,1
24-Jun-2021,1
23-Jun-2021,1
30-Apr-2021,1
12-Apr-2021,1
16-Mar-2021,2
12-Mar-2021,1
11-Mar-2021,1
10-Mar-2021,1
7-Mar-2021,1
5-Mar-2021,2
3-Mar-2021,1
25-Feb-2021,1
22-Feb-2021,2
21-Feb-2021,1
19-Feb-2021,1
18-Feb-2021,3
17-Feb-2021,2
16-Feb-2021,1
15-Feb-2021,2
14-Feb-2021,1
13-Feb-2021,1
12-Feb-2021,1
10-Feb-2021,3
8-Feb-2021,1
7-Feb-2021,1
4-Feb-2021,2
3-Feb-2021,1
2-Feb-2021,1
29-Jan-2021,5
28-Jan-2021,1
26-Jan-2021,2
25-Jan-2021,1
24-Jan-2021,2
21-Jan-2021,1
18-Jan-2021,1
17-Jan-2021,1
12-Jan-2021,2
11-Jan-2021,1
9-Jan-2021,2
6-Jan-2021,1
15-Dec-2020,1
14-Dec-2020,1
23-Nov-2020,3
20-Nov-2020,4
16-Nov-2020,1
11-Nov-2020,1
10-Nov-2020,1
4-Nov-2020,2
30-Oct-2020,1
26-Oct-2020,1
25-Oct-2020,7
24-Oct-2020,4
23-Oct-2020,1
5-Oct-2020,1
13-Aug-2020,2
17-Jun-2020,1
13-Jun-2020,1
21-May-2020,1
20-May-2020,1
8-Apr-2020,1
7-Apr-2020,1
24-Mar-2020,1
24-Feb-2020,1
20-Feb-2020,1
16-Jan-2020,1
5-Jan-2020,1
28-Dec-2019,2
21-Dec-2019,1
18-Dec-2019,1
6-Dec-2019,1
15-Nov-2019,1
17-Oct-2019,2
16-Oct-2019,1
25-Sep-2019,1
17-Sep-2019,1
12-Sep-2019,1
11-Sep-2019,1
10-Sep-2019,1
9-Sep-2019,1
7-Sep-2019,1
5-Sep-2019,1
4-Sep-2019,1
22-Aug-2019,2
18-Aug-2019,1
8-Aug-2019,2
3-Aug-2019,1
25-Jul-2019,1
24-Jul-2019,1
11-Jun-2019,1
4-Jun-2019,1
31-May-2019,1
23-May-2019,1
22-May-2019,1
9-May-2019,1
6-May-2019,2
27-Apr-2019,1
11-Apr-2019,1
26-Mar-2019,1
24-Mar-2019,4
23-Mar-2019,3
19-Mar-2019,1
27-Feb-2019,1
14-Jan-2019,1
20-Aug-2018,1
1-Aug-2018,1
11-Jul-2018,1
15-Jun-2018,1
11-May-2018,1
29-Apr-2018,1
25-Apr-2018,1
21-Mar-2018,1
12-Mar-2018,1
9-Mar-2018,1
13-Feb-2018,1
12-Feb-2018,1
18-Jan-2018,1
21-Oct-2017,1
16-Sep-2017,1
13-Sep-2017,1
5-Sep-2017,1
15-Aug-2017,1
11-Aug-2017,1
2-Aug-2017,1
19-Jun-2017,1
17-May-2017,1
1-Apr-2017,1
1-Dec-2016,1
10-Nov-2016,3
7-Nov-2016,1
3-Nov-2016,1
28-Oct-2016,1
15-Oct-2016,1
8-Oct-2016,1
2-Oct-2016,1
29-Sep-2016,1
27-Jul-2016,3
18-Jul-2016,1
17-Jul-2016,1
28-Jun-2016,1
5-May-2016,1
27-Apr-2016,1
14-Apr-2016,1
7-Apr-2016,1
1-Apr-2016,1
25-Mar-2016,1
17-Mar-2016,1
16-Mar-2016,1
8-Feb-2016,1
7-Feb-2016,1
26-Jan-2016,1
18-Jan-2016,1
7-Jan-2016,1
4-Jan-2016,1
29-Dec-2015,1
25-Dec-2015,1
22-Dec-2015,1
21-Dec-2015,1
17-Dec-2015,2
16-Dec-2015,1
8-Dec-2015,1
7-Dec-2015,1
4-Dec-2015,3
20-Nov-2015,1
18-Nov-2015,1
11-Nov-2015,1
3-Nov-2015,1
2-Nov-2015,1
1-Nov-2015,1
31-Oct-2015,1
30-Oct-2015,3
