Day,Category,Type,Views,Reactions,Comments,Date,WeekdayNumber,Votes
-3,SpaceForce,Share,50,0,0,9/25/2021,,
-2,CyberSecurity,Photo_1,128,0,0,10/16/2021,,
-1,Celebration,Photo_5,7331,127,37,10/22/2021,,
1,Update,Text,553,7,4,10/27/2021,4,
2,Update,Text,694,10,12,10/28/2021,5,
3,SpaceNews,Text,871,9,11,10/29/2021,6,
4,Data,Photo_1,2224,16,7,10/30/2021,7,
5,USSFExplained,Text,968,17,10,10/31/2021,1,
6,USSFExplained,Photo_1,509,10,9,11/1/2021,2,
7,USSFExplained,Photo_1,286,9,0,11/2/2021,3,
8,USSFExplained,Photo_1,338,9,2,11/3/2021,4,
9,USSFExplained,Text,292,7,4,11/4/2021,5,
10,USSFExplained,Text,730,10,8,11/5/2021,6,
11,USSFExplained,Text,720,8,7,11/6/2021,7,
12,Nostalgia,Photo_1,753,9,2,11/7/2021,1,
13,Data,Photo_1,1406,10,11,11/8/2021,2,
14,Publishing,Text,420,13,10,11/9/2021,3,
15,SpaceForce,Text,753,9,14,11/10/2021,4,
16,Holiday,Text,321,11,0,11/11/2021,5,
17,SpaceNews,Photo_3,1445,20,19,11/12/2021,6,
18,Publishing,Text,819,14,9,11/13/2021,7,
19,Office,Text,436,6,7,11/14/2021,1,
20,Office,Photo_3,661,5,4,11/15/2021,2,
21,Office,Text,437,9,4,11/16/2021,3,
22,Office,Text,219,4,0,11/17/2021,4,
23,Data,Photo_3,548,12,8,11/18/2021,5,
24,Update,Photo_1,447,7,5,11/19/2021,6,
25,Space,Photo_1,552,12,8,11/20/2021,7,
26,Publishing,Text,1122,17,23,11/21/2021,1,
27,Data,Photo_1,764,15,14,11/22/2021,2,
28,Data,Photo_1,359,4,8,11/23/2021,3,
29,Data,Text,674,7,6,11/24/2021,4,
30,Holiday,Text,581,11,10,11/25/2021,5,
31,Data,Photo_1,802,12,13,11/26/2021,6,
32,Update,Document,3328,28,27,11/27/2021,7,
33,Publishing,Photo_1,514,6,10,11/28/2021,1,
34,Artificial_Intelligence,Photo_1,745,8,7,11/29/2021,2,
35,Data,Photo_1,682,9,19,11/30/2021,3,
36,Artificial_Intelligence,Link,690,9,24,12/1/2021,4,
37,Publishing,Text,1065,12,27,12/2/2021,5,
38,Publishing,Text,1597,11,20,12/3/2021,6,
39,Data,Photo_1,698,10,20,12/4/2021,7,
40,Publishing,Poll,9772,15,29,12/5/2021,1,114
41,Publishing,Photo_2,837,6,10,12/6/2021,2,
42,Update,Photo_1,745,16,26,12/7/2021,3,
43,Data,Photo_1,355,6,2,12/8/2021,4,
44,Update,Photo_1,330,9,2,12/9/2021,5,
45,Update,Photo_1,933,24,8,12/10/2021,6,
46,Publishing,Link,282,5,0,12/11/2021,7,
47,12DaysofTribute,Photo_1,2139,52,14,12/12/2021,1,
48,12DaysofTribute,Photo_1,1079,27,2,12/13/2021,2,
49,12DaysofTribute,Photo_1,639,19,4,12/14/2021,3,
50,12DaysofTribute,Photo_1,1305,32,12,12/15/2021,4,
51,12DaysofTribute,Photo_1,2705,51,14,12/16/2021,5,
52,12DaysofTribute,Photo_1,701,22,8,12/17/2021,6,
53,12DaysofTribute,Photo_3,632,19,4,12/18/2021,7,
54,12DaysofTribute,Photo_1,793,18,8,12/19/2021,1,
55,12DaysofTribute,Photo_1,1256,27,12,12/20/2021,2,
56,12DaysofTribute,Text,498,14,4,12/21/2021,3,
57,12DaysofTribute,Photo_1,924,27,5,12/22/2021,4,
58,12DaysofTribute,Photo_1,2226,39,13,12/23/2021,5,
59,Publishing,Text,1635,9,19,12/24/2021,6,
60,Holiday,Photo_1,548,8,11,12/25/2021,7,
61,Publishing,Photo_1,806,15,5,12/26/2021,1,
62,Space,Link,663,10,2,12/27/2021,2,
63,Publishing,Poll,5641,12,37,12/28/2021,3,91
64,Data,Photo_1,1301,19,18,12/29/2021,4,
65,Publishing,Link,844,10,10,12/30/2021,5,
66,Publishing,Photo_1,1218,13,4,12/31/2021,6,
67,Publishing,Photo_1,1738,26,18,1/1/2022,7,
68,Update,Photo_1,1298,14,6,1/2/2022,1,
69,Philosophy,Text,672,17,21,1/3/2022,2,
70,Philosophy,Text,1211,32,17,1/4/2022,3,
71,Philosophy,Text,783,13,6,1/5/2022,4,
72,Data,Photo_1,1269,23,22,1/6/2022,5,
73,Publishing,Photo_1,658,13,15,1/7/2022,6,
74,Space,Video,367,41,44,1/8/2022,7,
75,Data,Photo_1,1044,15,4,1/9/2022,1,
76,Publishing,Photo_1,2012,14,38,1/10/2022,2,
77,Data,Text,3194,36,36,1/11/2022,3,
78,Data,Photo_1,8913,84,83,1/12/2022,4,
79,Publishing,Photo_1,2122,39,27,1/13/2022,5,
80,Publishing,Photo_1,864,13,9,1/14/2022,6,
81,Data,Video,705,40,75,1/15/2022,7,
82,Data,Photo_1,1093,12,31,1/16/2022,1,
83,Holiday,Photo_1,592,13,0,1/17/2022,2,
84,Data,Photo_1,3589,61,52,1/18/2022,3,
85,Data,Photo_1,1333,26,6,1/19/2022,4,
86,Data,Photo_1,982,11,13,1/20/2022,5,
87,Data,Photo_1,2496,13,22,1/21/2022,6,
88,Data,Video,136,8,23,1/22/2022,7,
89,Publishing,Photo_1,696,16,23,1/23/2022,1,
90,Data,Photo_1,636,10,11,1/24/2022,2,
91,Space,Photo_1,658,19,9,1/25/2022,3,
92,Publishing,Photo_1,1474,13,13,1/26/2022,4,
93,Life,Photo_1,6320,32,43,1/27/2022,5,
94,Data,Text,670,12,4,1/28/2022,6,
95,Data,Video,293,25,20,1/29/2022,7,
96,Data,Photo_1,3652,32,21,1/30/2022,1,
97,Data,Photo_1,1013,9,2,1/31/2022,2,
98,Data,Photo_1,430,8,0,2/1/2022,3,
99,Data,Text,775,15,2,2/2/2022,4,
100,Data,Photo_1,1128,18,25,2/3/2022,5,
101,Data,Photo_1,791,18,16,2/4/2022,6,
101,Space,Photo_3,757,32,4,2/4/2022,6,
102,Publishing,Photo_1,3432,13,16,2/5/2022,7,
103,Artificial_Intelligence,Document,3698,30,42,2/6/2022,1,
104,Coding,Photo_1,284,6,0,2/7/2022,2,
105,Data,Photo_1,1103,9,16,2/8/2022,3,
106,Publishing,Photo_1,6311,75,43,2/9/2022,4,
107,Math,Poll,1966,14,19,2/10/2022,5,55
108,Math,Photo_1,1508,21,28,2/11/2022,6,
109,Publishing,Text,3909,31,73,2/12/2022,7,
110,Data,Photo_1,2725,53,20,2/13/2022,1,
111,Holiday,Photo_1,1871,47,4,2/14/2022,2,
112,Publishing,Photo_1,934,11,2,2/15/2022,3,
113,Space,Photo_1,1439,22,6,2/16/2022,4,
114,SpaceNews,Photo_1,586,12,2,2/17/2022,5,
115,Publishing,Photo_1,3434,30,16,2/18/2022,6,
116,Life,Photo_1,3053,62,20,2/19/2022,7,
