Day,Category,Type,VideoViews,Views,Reactions,Comments,Date,WeekdayNumber,Votes
-3,SpaceForce,Share,,54,0,0,,,
-2,CyberSecurity,Photo_1,,132,0,0,,,
-1,Celebration,Photo_5,,7376,127,37,,,
1,Update,Text,,556,7,4,2021-10-27,4,
2,Update,Text,,697,10,12,2021-10-28,5,
3,SpaceNews,Text,,879,9,11,2021-10-29,6,
4,Data,Photo_1,,2226,16,7,2021-10-30,7,
5,USSFExplained,Text,,970,17,10,2021-10-31,1,
6,USSFExplained,Photo_1,,514,10,9,2021-11-01,2,
7,USSFExplained,Photo_1,,291,9,0,2021-11-02,3,
8,USSFExplained,Photo_1,,343,9,2,2021-11-03,4,
9,USSFExplained,Text,,296,7,4,2021-11-04,5,
10,USSFExplained,Text,,734,10,8,2021-11-05,6,
11,USSFExplained,Text,,723,8,6,2021-11-06,7,
12,Nostalgia,Photo_1,,755,9,2,2021-11-07,1,
13,Data,Photo_1,,1408,10,11,2021-11-08,2,
14,Publishing,Text,,421,13,10,2021-11-09,3,
15,SpaceForce,Text,,754,9,14,2021-11-10,4,
16,Holiday,Text,,323,11,0,2021-11-11,5,
17,SpaceNews,Photo_3,,1446,20,19,2021-11-12,6,
18,Publishing,Text,,821,14,9,2021-11-13,7,
19,Office,Text,,437,6,7,2021-11-14,1,
20,Office,Photo_3,,662,5,4,2021-11-15,2,
21,Office,Text,,440,9,4,2021-11-16,3,
22,Office,Text,,222,4,0,2021-11-17,4,
23,Data,Photo_3,,550,12,8,2021-11-18,5,
24,Update,Photo_1,,448,7,5,2021-11-19,6,
25,Space,Photo_1,,553,12,8,2021-11-20,7,
26,Publishing,Text,,1123,17,23,2021-11-21,1,
27,Data,Photo_1,,765,15,14,2021-11-22,2,
28,Data,Photo_1,,360,4,8,2021-11-23,3,
29,Data,Text,,648,7,6,2021-11-24,4,
30,Holiday,Text,,582,11,10,2021-11-25,5,
31,Data,Photo_1,,803,12,13,2021-11-26,6,
32,Update,Document,,3333,28,27,2021-11-27,7,
33,Publishing,Photo_1,,516,6,10,2021-11-28,1,
34,Artificial_Intelligence,Photo_1,,748,8,7,2021-11-29,2,
35,Data,Photo_1,,684,9,19,2021-11-30,3,
36,Artificial_Intelligence,Link,,691,9,24,2021-12-01,4,
37,Publishing,Text,,1066,12,27,2021-12-02,5,
38,Publishing,Text,,1600,11,20,2021-12-03,6,
39,Data,Photo_1,,701,10,20,2021-12-04,7,
40,Publishing,Poll,,9773,15,29,2021-12-05,1,114
41,Publishing,Photo_2,,840,6,10,2021-12-06,2,
42,Update,Photo_1,,747,16,26,2021-12-07,3,
43,Data,Photo_1,,357,6,2,2021-12-08,4,
44,Update,Photo_1,,331,9,2,2021-12-09,5,
45,Update,Photo_1,,949,24,8,2021-12-10,6,
46,Publishing,Link,,284,5,0,2021-12-11,7,
47,12DaysofTribute,Photo_1,,2140,51,14,2021-12-12,1,
48,12DaysofTribute,Photo_1,,1080,27,2,2021-12-13,2,
49,12DaysofTribute,Photo_1,,641,19,4,2021-12-14,3,
50,12DaysofTribute,Photo_1,,1307,32,12,2021-12-15,4,
51,12DaysofTribute,Photo_1,,2709,51,14,2021-12-16,5,
52,12DaysofTribute,Photo_1,,705,22,8,2021-12-17,6,
53,12DaysofTribute,Photo_3,,635,19,4,2021-12-18,7,
54,12DaysofTribute,Photo_1,,796,18,8,2021-12-19,1,
55,12DaysofTribute,Photo_1,,1258,27,12,2021-12-20,2,
56,12DaysofTribute,Text,,501,14,4,2021-12-21,3,
57,12DaysofTribute,Photo_1,,926,26,5,2021-12-22,4,
58,12DaysofTribute,Photo_1,,2228,38,13,2021-12-23,5,
59,Publishing,Text,,1637,9,19,2021-12-24,6,
60,Holiday,Photo_1,,550,7,11,2021-12-25,7,
61,Publishing,Photo_1,,809,15,5,2021-12-26,1,
62,Space,Link,,668,10,2,2021-12-27,2,
63,Publishing,Poll,,5650,12,37,2021-12-28,3,91
64,Data,Photo_1,,1304,18,18,2021-12-29,4,
65,Publishing,Link,,846,9,10,2021-12-30,5,
66,Publishing,Photo_1,,1221,12,4,2021-12-31,6,
67,Publishing,Photo_1,,1740,25,18,2022-01-01,7,
68,Update,Photo_1,,1300,14,6,2022-01-02,1,
69,Philosophy,Text,,674,17,21,2022-01-03,2,
70,Philosophy,Text,,1218,31,17,2022-01-04,3,
71,Philosophy,Text,,788,13,6,2022-01-05,4,
