Day,Category,Type,Views,Interactions,Comments
-3,SpaceForce,Share,30,0,0
-2,CyberSecurity,Photo_1,107,0,0
-1,Celebration,Photo_5,7127,125,35
1,Update,Text,520,8,4
2,Update,Text,658,10,12
3,SpaceNews,Text,831,9,11
4,Data,Photo_1,2184,16,7
5,USSFExplained,Text,912,17,10
6,USSFExplained,Photo_1,469,10,9
7,USSFExplained,Photo_1,249,9,1
8,USSFExplained,Photo_1,300,9,2
9,USSFExplained,Text,249,7,4
10,USSFExplained,Text,677,10,8
11,USSFExplained,Text,669,8,5
12,Nostalgia,Photo_1,723,9,2
13,Data,Photo_1,1374,10,11
14,Publishing,Text,386,13,10
15,SpaceForce,Text,711,9,13
16,Military,Text,289,11,0
17,SpaceNews,Photo_3,1400,19,19
18,Publishing,Text,785,14,9
19,Office,Text,388,6,5
20,Office,Photo_3,596,5,4
21,Office,Text,396,9,4
22,Office,Text,180,4,0
23,Data,Photo_3,482,11,8
24,Update,Photo_1,401,7,5
25,Space,Photo_1,479,12,6
26,Publishing,Text,1061,17,23
27,Data,Photo_1,659,14,8
28,Data,Photo_1,287,3,8
29,Data,Text,518,6,6
